"Dataset Id","Dataset Name","Group","Polarity","Source","Analyzer","Matrix","Species","Kingdom","Sample Type","m/z Class"
"2022-10-26_22h41m53s","S-2006-004092_8_S3_SM_Neg_20221017_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-26_21h27m57s","S-2107-004024_10_S3_SM_Neg_20221013_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-25_23h22m47s","Iso-7_3_S1_SM_Neg_20221024_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-25_23h22m08s","Iso-7_1_S1_SM_Neg_20221024_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-25_23h16m27s","Float-7_1_S1_SM_Neg_20221024_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-25_23h14m23s","Float-5_1_S1_SM_Neg_20221024_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-18_14h44m19s","20220921_7-43x4mg-zol_DHB-spray_2Dlinemode_50um_459by328_Atn38_20filter","U Copenhagen","Positive","MALDI","Orbitrap","DHB","Homo sapiens","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-10-18_13h46m45s","20220812_kaebe_7x4mgzol_DHB(positivemode_spray-x1_2Dlinemode_50um_477by261_Atn38_20filter","U Copenhagen","Positive","MALDI","Orbitrap","DHB","Homo sapiens","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-10-17_22h29m04s","7um-20_S1_SM_Neg_20221014_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-17_09h05m16s","regions","PNNL","Positive","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2021-04-14_18h06m51s","Control - BT474 Brain Met D NEg","None","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-12_22h50m05s","WT-259_6_S3_SM_Neg_20220908_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-12_18h08m35s","G0-198_G1-170_G2-186_WT-259_Mimetic1_S3_SM_Neg_20220809_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-07_08h27m08s","24_recal","Spectroglyph LLC","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-06_23h46m08s","15_1_S1_1_30um_07292021_recal","Spectroglyph LLC","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-03_17h01m56s","2022-03-31_480_B2_AFL_DAN_NEG_119x86_pxl70um","U Copenhagen","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-09-28_16h17m16s","S1_NoLockMass_04012022","Spectroglyph LLC","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-09-24_02h09m52s","t3_c4#2_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_02h08m40s","t3_c3#1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_02h02m56s","t2_d3#1_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_01h59m59s","t2_c5#2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_01h59m18s","t2_c4#2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_01h52m50s","t1_d5#2_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_01h49m25s","t1_d4#2_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_01h42m31s","t1_c4#1_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_01h36m48s","t1_c1#1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_00h32m40s","t2d5#1_pos","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_00h29m35s","t2d4#1_pos","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-24_00h28m42s","t2d3#1_pos","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-23_23h06m12s","t2_drought_all6_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-15_23h38m41s","Nodule_8cycles_APEBA_50%MeOH_DHB","PNNL","Positive","MALDI","FTICR","DHB","Glycine max","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-15_23h38m06s","Nodule_4cycles_APEBA_50%MeOH_DHB","PNNL","Positive","MALDI","FTICR","DHB","Glycine max","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-15_23h37m26s","Nodule_2cycles_APEBA_50%MeOH_DHB","PNNL","Positive","MALDI","FTICR","DHB","Glycine max","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-12_19h50m48s","regions","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_01h00m11s","t3_co4_1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h56m40s","t3_co3_2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h50m25s","t3_c6_2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h48m11s","t3_c6_1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h47m28s","t3_c5_2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h46m14s","t3_c5_1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h43m35s","t3_c4_1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h19m12s","t2_co3_2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h16m08s","t2_co2_1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h14m23s","t2_co1_1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h13m13s","t2_c6_2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h04m18s","t2_c3_1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-09_00h04m55s","t2_c3_2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-01_18h57m16s","20220824dvmeredithneg4","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h35m58s","time2_c5_2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h34m23s","time2_c6_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h26m56s","time2_co1_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h22m54s","time2_co2_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h18m08s","time2_co2_2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h16m07s","time2_co3_2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h11m40s","time2_co4_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h05m19s","time2_co6_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_20h01m14s","time3_c1_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_19h48m33s","time3_c5_2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_19h39m07s","time3_co1_2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_19h32m47s","time3_co2_2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_19h18m56s","time3_co6_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-07_19h24m08s","time3_co3_2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-09-01_23h56m59s","time2_c4_1","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-08-05_01h18m22s","Poplar_2cycles_APEBA_100%H2O_DHB","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-16_01h12m32s","mac_p7_control_s3_r_20210919_#1_pos_lowmz","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-07-26_00h17m03s","Nodule_12cycles_APEBA_100%H2O_DHB","PNNL","Positive","MALDI","FTICR","DHB","Glycine max","Plant","Tissue","Lipids_and_small_moleclues"
"2022-07-23_22h54m24s","S-2107-023525_9_S3_SM_Neg_20220721_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-07-16_07h45m35s","S-1905-017743_Mimetic1_S3_SM_Neg_20220714_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-07-13_21h30m17s","20201029_slide 13_DDA_t14_2022-7-13T13-54-20","M4I","Negative","MALDI","Orbitrap","Norharmane","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-07-13_21h28m34s","20201029_slide 9_DDA_t14_2022-7-13T10-4-50","M4I","Negative","MALDI","Orbitrap","Norharmane","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-07-13_21h27m09s","20201029_slide 5_t14_2022-7-13T0-28-1","M4I","Negative","MALDI","Orbitrap","Norharmane","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-07-08_21h54m24s","20200825_Slide 1_DDA_2022-7-8T20-2-42","M4I","Negative","MALDI","Orbitrap","Norharmane","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-06-25_19h49m59s","S-2103-004186_9_S3_SM_Neg_20220624_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-06-09_20h32m28s","S-2102-003504_Mimetic2_S3_SM_Neg_20220608_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-06-09_20h31m42s","S-2102-003504_Mimetic1_S3_SM_Neg_20220608","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-06-09_20h24m10s","S-2006-002396_3_S3_SM_Neg_20220608_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-06-09_18h56m28s","S-2103-004042_7_S3_SM_Neg_20220526_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-04-20_00h01m43s","mac_p8_ammonium_s1_1_50um_15T","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-19_20h58m11s","p11_ammonium_2_neglowmz","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-19_20h56m35s","mac_p11_nitrate_1_neglowmz","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-18_23h51m50s","mac_p8_ammonium_s1_1_poshighmz","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-18_23h55m22s","p11_ammonium_s2_1_pos_highmz","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-18_23h55m57s","p11_ammonium_s2_2_pos_highmz","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-18_23h51m16s","mac_p7_control_s3_1_pos_highmz","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-18_23h46m33s","mac_p7_control_s3_r_20210919_#1_pos_lowmz","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-16_01h16m36s","mac_p10_control_s3_r_20210919_#1_pos_lowmz","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-16_01h16m04s","mac_p8_ammonium_s1_root_20210718_#2","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-04-01_21h01m59s","S1_NoLockMass_04012022","UTHSA","Negative","MALDI","Orbitrap","DAN","Rattus norvegicus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-03-21_15h12m57s","20211026_25x75_20um_Rate 2#20_AcN-AcOH_CHCA_Pos_mode_200-2000mz_70K_Laser37_5kV_350C_Slens90_Line_leftright_centroid","None","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-02-17_20h55m39s","20220211_dv_meredith_1_lowmz","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-02-17_03h11m42s","20220215_dv_meredith_gelatine_lowmz","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-03-11_19h45m44s","20200302_dv_meredith_tape_pos_highmz_50um_KEGG","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-03-11_19h44m47s","20200302_dv_meredith_tape_pos_highmz_50um","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-03-04_11h13m43s","20220302_467x707_25um_Mouse sample train bloc2#3_Dan spray+Plamd31++_Neg_mode_200-1000mz_70K_Laser39_5.5kV_350C_Slens90_line_leftright_centroid","None","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-03-02_15h56m01s","20220228_564x808_25um_Mouse sample train bloc4#3_Dan spray+Plamd31++_Neg_mode_200-1000mz_70K_Laser39_5.5kV_350C_Slens90_line_leftright_centroid","None","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-02-24_20h58m45s","20220223_jl_torti_ftt_tumor_2","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-02-18_01h40m28s","20220215_dv_gelatine_meredith_lowmz","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-02-17_01h58m22s","20220215_dv_meredith_gelatine_highmz","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-02-14_11h58m38s","20220211_608x860_25um_Mouse sample train bloc1#10_Dan spray_Neg_mode_200-1000mz_70K_Laser39_5.5kV_400C_Slens90_line_leftright_centroid","None","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-01-31_16h37m44s","20220128_200x252_25um_single cell macro eau_AcOH_dan1mgmll_Neg_mode_200-2000mz_140K_Laser39_speed1_6.5kV_400C_Slens90_full pixel_leftright_centroid","None","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-01-28_14h20m33s","20220127_361x618_20um_Camelina 6 seeds bloc2#6_Tol_DHB_Pos_mode_200-2000mz_70K_Laser37_5.2kV_400C_Slens90_Line_leftright_centroid","None","Positive","MALDI","Orbitrap","DHB","OTHER","Plant","Uncurated","Lipids_and_small_moleclues"
"2022-01-18_00h17m02s","026pilot_mimetic1_s1_lip_neg_20220117_JL","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-01-06_23h32m29s","S-2102-003504_Mimetic2_S1_lip_pos_20220105_JL","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-12-15_23h40m48s","S-2007-003948_6_S1_SM_Neg_20211209_AP","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-12-15_22h16m00s","S-2007-003807_2_S1_SM_Neg_20211209_AP","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-12-10_20h53m07s","S-2006-005052_6_S4_SM_Neg_20211206_AP","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-12-10_18h52m29s","20211209_jl_mq_ratbrain_tests_whole_1","PNNL","Positive","MALDI","FTICR","DHB","Rattus norvegicus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-12-10_00h52m21s","20211208_jl_mq_ratbrain_test_spot_test_2","PNNL","Positive","MALDI","FTICR","DHB","Rattus norvegicus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-12-06_17h34m59s","591_S4_2_12.5.2021_c","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-11-29_13h04m05s","339_pos_rep3_bt - root mean square","U Rennes 1","Positive","MALDI","FTICR","DHB","Brassica napus","Plant","Tissue","Lipids_and_small_moleclues"
"2021-11-19_13h06m51s","MPIMM_282_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Uncurated","Lipids_and_small_moleclues"
"2021-11-19_11h35m12s","20211118_35x70_20um_rate4#23_DAN_AcOH_Neg_mode_200-2000mz_70K_Laser39_4p2kV_350C_Slens90_Line_leftright_centroid","None","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2021-11-18_23h17m02s","20211117_jl_cov362_fibroblast_1","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-11-04_14h12m55s","2021-11-01_atq-84-02_dhb_brain-tissue-total ion count","None","Positive","MALDI","FTICR","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-11-04_12h13m03s","2021-10-20_atq-84-01_chca_brain-tissue-total ion count","None","Positive","MALDI","FTICR","CHCA","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-11-04_11h38m42s","2021-10-20_atq-83-01_dhb_brain-tissue-total ion count","None","Positive","MALDI","FTICR","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-09-27_22h29m13s","416_S1_5_30um_Lip_09252021_c","UTHSA","Positive","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-09-21_18h58m37s","239_S1_4_20um_Lip_09182021_c","UTHSA","Positive","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-09-21_18h12m18s","231_S1_4_20um_Lip_09182021_c","UTHSA","Positive","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-09-11_20h48m42s","S-2006-001713_1_S4_SM_Neg_20210910_AP","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-09-10_21h28m09s","20210909_jl_ratbrain_comp_2","PNNL","Positive","MALDI","FTICR","DHB","Rattus norvegicus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-09-10_21h15m27s","20210909_jl_ratbrain_comp_1","PNNL","Positive","MALDI","FTICR","DHB","Rattus norvegicus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-09-08_14h18m22s","MPIMM_275_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Uncurated","Lipids_and_small_moleclues"
"2021-08-25_23h02m00s","biorep6_c2#2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2021-08-25_23h00m36s","biorep6_c1#2","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2021-08-16_23h23m47s","20210813_jl_lungmap_d281_8a3_neg_slide2_section10c","LungMAP","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-08-16_23h19m40s","20210814_jl_lungmap_d281_8a3_pos_slide2_7c","LungMAP","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-07-30_13h11m59s","20210729_Bchild_NIX_N25_tm_sl168_20210729141011","Dreisewerd group","Positive","MALDI","Orbitrap","DHAP","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-07-28_15h42m57s","20210727_Bchild_NIX_N25_tm_sl168_210727110840","Dreisewerd group","Positive","MALDI","Orbitrap","DHAP","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-07-27_15h16m39s","MPIMM_272_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","Mixed","Plant","Uncurated","Lipids_and_small_moleclues"
"2021-05-05_12h07m14s","MPIMM_249_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-05_12h01m42s","MPIMM_243_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-05_12h04m34s","MPIMM_246_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-05_12h02m51s","MPIMM_244_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-05_11h59m50s","MPIMM_241_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-05_12h00m33s","MPIMM_242_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-05_11h58m43s","MPIMM_240_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-05_11h57m15s","MPIMM_239_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-03_11h34m11s","13C labelled - BT 474 BM D DAN ","None","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-06-28_03h09m59s","355_l_total ion count","U Melbourne","Positive","MALDI","FTICR","CHCA","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-06-18_07h27m03s","355_r_total ion count","U Melbourne","Positive","MALDI","FTICR","CHCA","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-06-18_07h25m44s","357_c_l_total ion count","U Melbourne","Positive","MALDI","FTICR","CHCA","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2021-06-15_17h34m28s","20190424_fullscan_negative_2021-6-15T13-48-15","M4I","Negative","MALDI","Orbitrap","Norharmane","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2021-06-14_17h15m59s","S-2006-001713_3_S1_SM_Neg_20210609_AP","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-06-10_14h36m03s","MPIMM_260_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Uncurated","Lipids_and_small_moleclues"
"2021-06-07_18h06m22s","MPIMM_257_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Uncurated","Lipids_and_small_moleclues"
"2021-06-01_14h31m09s","20210531_100x166_30um_C35_5_subDAN_recryst_POS_mode_200-2000mz_70K_Laser37_5p5kV_350C_Slens90_Line_leftright_centroid","None","Positive","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2021-05-11_21h32m21s","20210510_jl_lung_agarose_pos_opt_10pass_1","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-11_19h42m24s","20210510_jl_lung_agarose_pos_opt_12pass_1","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-04_21h07m55s","2000-117Normal_NEG2","None","Negative","ESI","Orbitrap","Other","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-04_20h47m58s","2002-342Tumor-NEG","None","Negative","ESI","Orbitrap","Other","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-05-04_20h38m11s","2002-322Normal_NEG","None","Negative","ESI","Orbitrap","Other","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2021-04-15_10h29m36s","20210119_Brain_Cer_HCCA_pos_i","None","Positive","MALDI","Orbitrap","CHCA","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
